0.74,1,0.27,0.47
-0.21,3,0.51,0.25
-0.5,1,0.37,1.05
2.18,1,-0.6,-2.28
-0.93,5,-0.51,0.6
0.35,1,-0.2,-0.17
-0.19,1,-0.45,0.71
-0.68,1,-1.55,-1.08
1.36,1,-0.78,2.3
-1.07,2,0.33,0.29
-0.02,3,-1.75,-1.31
0.06,1,-0.1,1.01
0.23,2,-0.1,0.09
1.94,1,0.5,-0.73
0.49,2,0.5,2.12
0.14,1,-1.48,0.08
0.13,1,0.09,0.13
0.89,1,0.63,1.15
-0.48,2,-0.32,2.08
-1.56,2,0.88,-0.12
-0.94,1,-0.77,-1.34
0.19,2,-0.63,0.29
1.56,1,-0.69,-0.16
-2.1,3,0.14,0.03
-1.13,2,1.88,-1.8
-0.62,1,1.58,0.38
1.42,1,-0.95,-0.1
0.77,1,-1.19,-0.56
2.07,3,1.39,-0.38
2.11,1,-0.63,1.0
0.58,1,0.9,0.31
0.16,1,-0.96,1.79
-1.53,2,-0.48,1.55
0.49,2,-0.74,-0.32
1.19,6,0.54,0.65
-1.05,2,1.09,-2.39
-0.3,1,-1.62,0.24
-2.0,2,-0.58,0.77
0.07,1,-0.8,1.26
0.4,2,0.33,-0.21
-0.51,3,-0.05,1.34
0.56,1,-0.11,0.99
-0.97,2,0.5,0.6
0.76,2,-0.48,-0.38
-0.01,1,0.83,-0.24
0.3,1,-1.68,-0.53
0.4,3,0.17,-0.77
0.93,1,0.34,-0.43
1.93,1,-0.86,1.14
-0.51,1,0.86,-1.85
-0.49,6,0.55,0.37
0.72,4,0.07,0.44
1.51,1,0.8,0.86
-2.5,1,-0.12,1.94
-0.47,1,-1.74,0.13
-0.15,3,-0.25,-0.94
0.37,1,-1.01,-2.6
-0.08,2,-1.09,0.13
-0.5,1,-0.49,0.12
-0.33,1,-1.66,-0.13
-1.54,1,0.03,0.68
0.09,1,-0.04,-0.39
-1.27,3,1.19,1.29
-0.65,1,2.15,-0.51
-0.1,1,-0.38,0.3
1.48,1,-0.78,0.79
1.55,1,0.83,0.27
-0.92,4,-1.37,0.91
1.4,3,0.73,-0.57
0.26,1,-1.21,0.34
1.72,3,1.05,1.27
-0.55,1,1.86,-0.63
0.08,1,-0.58,0.23
-0.4,1,-0.32,0.77
-0.57,1,0.0,-0.6
-0.92,1,-0.42,-0.88
0.19,1,0.81,0.58
-0.84,2,2.51,-0.43
1.05,2,0.06,-0.31
-0.48,1,-1.54,1.68
0.05,3,0.19,-1.68
-1.29,1,-0.7,1.1
0.26,1,0.67,-1.46
-0.27,2,0.5,0.79
0.07,1,0.47,-1.73
0.02,1,1.2,-0.44
-1.66,2,-0.39,0.99
2.12,5,-1.56,0.52
-1.3,4,-0.25,-0.69
-0.78,1,0.36,-0.57
-1.59,1,1.64,1.03
0.49,1,-1.05,-0.14
0.16,1,0.54,1.02
-0.55,1,-0.74,-0.11
0.72,4,2.52,0.53
0.73,1,0.72,-1.42
0.35,3,0.31,-0.39
0.36,1,-1.06,0.07
-0.41,1,1.54,-0.41
-1.39,1,0.84,-0.72
